,name,lon,lat,number,location,mean_area,mean_prc
351,东城 - 西水井胡同,116.430725,39.922557,38,东城,63.285714285714285,102.12743970588797
352,东城 - 西营房小区,116.42505,39.885925,21,东城,79.21428571428571,105.92294322677982
353,东城 - 西营房胡同9号院,116.403547,39.952214,4,东城,93.5,119.6078431372549
354,东城 - 角湾小区,116.44029599999999,39.896188,4,东城,72.0,73.61111111111111
355,东城 - 豆瓣小区,116.431505,39.928433,12,东城,58.75,108.69391025641025
356,东城 - 豆瓣胡同,116.432043,39.927003000000006,10,东城,55.5,124.76808647742386
357,东城 - 豪威嘉园,116.40013300000001,39.951011,3,东城,157.0,114.64968152866243
358,东城 - 豪威家园,116.41788999999999,39.964890000000004,2,东城,157.0,114.64968152866243
359,东城 - 贡院9号,116.430228,39.910614,41,东城,200.06666666666666,122.243046617118
360,东城 - 贡院西街小区,116.43033,39.90954,8,东城,55.25,88.02744425385936
361,东城 - 赵堂子胡同,116.42901,39.914246999999996,8,东城,63.333333333333336,103.41880341880342
362,东城 - 车辇店胡同,116.40421200000002,39.94533300000001,1,东城,100.0,82.0
363,东城 - 辛寺胡同,116.419628,39.935802,2,东城,25.0,104.0
364,东城 - 远洋德邑,116.446354,39.895371000000004,29,东城,102.0,85.43449843665502
365,东城 - 郎家胡同,116.40131799999999,39.946795,3,东城,61.0,131.14754098360655
366,东城 - 都会经典大厦,116.435432,39.940218,11,东城,75.5,82.6098511693834
367,东城 - 都市馨园,116.414045,39.895317999999996,66,东城,57.5,117.01820248508403
368,东城 - 金世纪嘉园,116.44646999999999,39.899497,2,东城,65.0,89.23076923076923
369,东城 - 金成建国5号,116.433869,39.914035,19,东城,192.75,118.82549628731812
370,东城 - 金桥国际公寓,116.44198,39.896102,79,东城,92.61538461538461,101.37632579079703
371,东城 - 金鱼池中区,116.40880800000001,39.889647,4,东城,61.5,112.33660130718954
372,东城 - 金鱼池中街一号院,116.407027,39.891589,2,东城,51.0,127.45098039215686
373,东城 - 金鱼池小区,116.40880800000001,39.889647,16,东城,57.75,104.46386130209657
374,东城 - 金鱼池西区,116.40666599999999,39.889493,12,东城,106.66666666666667,67.55098620084624
375,东城 - 钟楼四合院,116.39327,39.944165999999996,8,东城,456.0,285.0877192982456
376,东城 - 钱粮胡同,116.413867,39.927855,5,东城,30.0,116.66666666666667
377,东城 - 银闸小区,116.404315,39.921802,2,东城,248.0,116.93548387096774
378,东城 - 锡拉胡同,116.408906,39.916325,6,东城,51.0,99.57070707070709
379,东城 - 锡拉胡同21号院,116.40749699999999,39.916607,1,东城,70.0,99.98571428571428
380,东城 - 锡拉胡同23号院,116.407397,39.916474,2,东城,60.0,90.06993006993007
381,东城 - 锦鸿阁,116.430907,39.961779,58,东城,91.07692307692308,101.44820758957826
382,东城 - 长青园,116.427272,39.876645,19,东城,72.625,77.62622407608924
383,东城 - 阳光都市,116.44071100000001,39.935656,84,东城,124.575,121.15892995570941
384,东城 - 阳春胡同,116.40713999999998,39.932866,2,东城,65.0,104.375
385,东城 - 雍和家园,116.42015500000001,39.950516,22,东城,158.11111111111111,127.65881912236722
386,东城 - 霞公府,116.408105,39.909966,21,东城,497.5,241.20627378730214
387,东城 - 青年沟23号院,116.41663700000001,39.962856,3,东城,55.0,105.45454545454545
388,东城 - 青年湖东里,116.406559,39.956065,30,东城,82.0,98.38388809385316
389,东城 - 青年湖北街,116.40546599999999,39.9599,2,东城,81.0,101.23456790123457
390,东城 - 青年湖北里,116.40576200000001,39.957817,6,东城,89.0,95.62919443871824
391,东城 - 青年湖西里,116.398583,39.954445,15,东城,74.0,111.80232558139535
392,东城 - 青炭局胡同,116.415673,39.944938,3,东城,55.0,81.42857142857143
393,东城 - 韶九胡同,116.40823300000001,39.916936,1,东城,65.0,100.0
394,东城 - 领行国际,116.441681,39.893102,12,东城,89.66666666666667,101.44688644688644
395,东城 - 领行国际中心,116.441681,39.893102,1,东城,67.0,73.13432835820896
396,东城 - 香河园,116.438988,39.94693,3,东城,60.0,116.66666666666667
