"_id",lon,lat,name,number,location
5a39fdeca5d9663c641fec6c,116.472517,40.086536,name,number,name
5a39fdeda5d9663c641fec6d,116.405125,39.923047,东城 - 沙滩南巷小区,1,东城
5a39fdeea5d9663c641fec6e,116.45555,39.918186,大兴 - 兴盛国际公寓,2,大兴
5a39fdf0a5d9663c641fec6f,116.606466,39.927837,朝阳 - 富力阳光美居,51,朝阳
5a39fdf1a5d9663c641fec70,116.444695,39.934713,朝阳 - 永利国际中心,34,朝阳
5a39fdf3a5d9663c641fec71,116.496625,39.939472,朝阳 - 泛海国际樱海园,113,朝阳
5a39fdf3a5d9663c641fec72,116.327117,39.892748,西城 - 丽水莲花,218,西城
5a39fdf4a5d9663c641fec73,116.3715,40.006647,朝阳 - 中天国际公寓,11,朝阳
5a39fdf4a5d9663c641fec74,116.327634,39.893050,西城 - 丽水莲花二期,9,西城
5a39fdf5a5d9663c641fec75,116.389230,39.877400,西城 - 太平街小区,22,西城
