,lon,lat,name,number
137,116.402591,39.943876,东城 - 北锣鼓巷小区,17
138,116.428699,39.940476,东城 - 北新仓社区,6
139,116.439957,39.939835,东城 - 十字坡东里,9
140,116.429345,39.926758,东城 - 仓南胡同14号院,6
142,116.410991,39.933102,东城 - 华人一品,1
143,116.429127,39.934469,东城 - 北门仓胡同,18
144,116.406127,39.960767,东城 - 华府景园,25
145,116.43259,39.936187,东城 - 华普花园,19
146,116.405369,39.862854,东城 - 华龙美晟,23
147,116.419037,39.941819,东城 - 北新桥头条,3
148,116.406860,39.910816,东城 - 南河沿,6
149,116.427888,39.934296,东城 - 北门仓,12
151,116.403187,39.937282,东城 - 南锣鼓巷,2
152,116.427604,39.928455,东城 - 南门仓,4
153,116.423761,39.880926,东城 - 双玉中街小区,4
155,116.421970,39.918448,东城 - 史家胡同,5
156,116.416100,39.919430,东城 - 同福夹道,13
157,116.435407,39.890503,东城 - 保利蔷薇,31
158,116.423457,39.944715,东城 - 后永康胡同,1
159,116.426154,39.952018,东城 - 和平新城,68
160,116.427194,39.926433,东城 - 南弓匠营小区,1
161,116.429004,39.920325,东城 - 后芳嘉园胡同,2
162,116.426154,39.952018,东城 - 和平街十一区,57
163,116.420617,39.962164,东城 - 和平街八区,4
164,116.430815,39.964889,东城 - 和平街十五区,71
166,116.410640,39.964675,东城 - 和平西苑,6
167,116.422702,39.959249,东城 - 和平里一区,10
168,116.428988,39.922018,东城 - 南竹杆胡同,9
169,116.422342,39.960159,东城 - 和平街十二区,28
170,116.423952,39.959800,东城 - 和平里七区,27
171,116.424693,39.953172,东城 - 和平里东街9号院,22
172,116.422883,39.957917,东城 - 和平里中街3号院,9
173,116.424479,39.958194,东城 - 和平里二区,6
174,116.419051,39.955144,东城 - 和平里五区,82
175,116.425338,39.961129,东城 - 和平街十三区,25
176,116.424698,39.951086,东城 - 和平里东街15号院,2
177,116.424414,39.955971,东城 - 和平里六区,30
178,116.421032,39.957045,东城 - 和平里四区,4
179,116.429630,39.955866,东城 - 和平里砖角楼,11
180,116.419945,39.95591,东城 - 和平里三区,61
182,116.420485,39.898236,东城 - 国瑞城,548
183,116.419498,39.898495,东城 - 国瑞紫金台,12
184,116.399719,39.951538,东城 - 地兴居轻工业部宿舍,2
185,116.43873,39.891233,东城 - 夕照寺西里小区,1
186,116.397510,39.946743,东城 - 国祥胡同,2
187,116.404001,39.941112,东城 - 大经厂西巷,1
188,116.428186,39.912319,东城 - 大羊宜宾胡同,6
189,116.421341,39.913483,东城 - 外交部街33号院,8
190,116.429223,39.913014,东城 - 大羊宜宾胡同31号院,2
191,116.427888,39.913193,东城 - 大羊宜宾胡同35号院,5
192,116.407822,39.920128,东城 - 大草厂胡同,3
193,116.426126,39.915237,东城 - 外交部街小区,13
