,lon,lat,name,number,location
60,116.438318,39.940638,东城 - 东直门外大街40号楼,8,东城
61,116.42941100000002,39.898736,东城 - 东花市北里西区,8,东城
62,116.426272,39.947741,东城 - 东直门北小街8号院,1,东城
63,116.441858,39.894757,东城 - 丽水湾畔家园,7,东城
64,116.424771,39.917463,东城 - 东罗圈胡同,6,东城
65,116.430515,39.897898,东城 - 东花市北里,8,东城
66,116.441858,39.894757,东城 - 丽水湾畔,3,东城
67,116.411942,39.9336,东城 - 中剪子巷,6,东城
68,116.433533,39.898919,东城 - 东花市北里中区,90,东城
69,116.438941,39.941208,东城 - 东直门外大街,14,东城
