,name,area,house_type,floor,price,url,average_price
1226,丰台 - 东营里5号院,70.0,2室1厅,3/6,4100,http://m.fang.com/zf/bj/JHAGT_390340329_811d614f7c6dc40a79a7b8e765aa7df6_164408417.html,58.0
1227,顺义 - 西辛南区,60.0,2室1厅,3/6,3800,http://m.fang.com/zf/bj/JHAGT_390114158_7181b1c383bdd659e59000eed4bca70c_165930730.html,63.0
1228,西城 - 红莲中里,55.0,1室1厅,4/6,3500,http://m.fang.com/zf/bj/JHAGT_390671708_caf156509f6f55d8d0ffb0dda2c0871e_165268436.html,63.0
1229,朝阳 - 武圣西里,29.0,2室1厅,11/28,2000,http://m.fang.com/zf/bj/JHAGT_390300667_4f3aa217581818874cb94c36ef390ea4_164458698.html,68.0
1230,西城 - 红居南街1号院,75.0,2室1厅,4/6,4800,http://m.fang.com/zf/bj/JHAGT_390671686_c82cffba2096ceacca106b3aae03f50a_165268436.html,64.0
1231,朝阳 - 北京城建福润四季A区,65.0,1室1厅,14/20,4000,http://m.fang.com/zf/bj/JHAGT_390405463_78959c9fbc4142ecb48e95d7476c20c0_165693392.html,61.0
1232,顺义 - 东亚创展国际,58.0,2室1厅,11/13,4000,http://m.fang.com/zf/bj/JHAGT_389292724_e158370b0d1b0c5f40e4df81574b944e_165262087.html,68.0
1233,顺义 - 东亚创展国际,60.0,1室1厅,6/13,3700,http://m.fang.com/zf/bj/JHAGT_389378860_11c9e0a018452195e4fc481c7a2a67ee_165262087.html,61.0
1234,海淀 - 定慧北里,65.0,2室1厅,1/6,4200,http://m.fang.com/zf/bj/JHAGT_390107034_3ac24502c06e90cfb62baf95b3d086fa_133074406.html,64.0
1235,朝阳 - 金隅悦和园,62.0,1室1厅,27/27,3750,http://m.fang.com/zf/bj/JHAGT_387209271_c4cae24d8159a1c95b20433759cb10e2_165837050.html,60.0
1236,海淀 - 金隅瑞和园,60.0,1室1厅,4/9,3500,http://m.fang.com/zf/bj/JHAGT_387836490_3046db09df179e44c0da19a89dec9e9c_164356050.html,58.0
1237,通州 - 西富河园,77.0,2室1厅,3/6,4300,http://m.fang.com/zf/bj/JHAGT_387824468_b854a4279fe34c222633decb464d55b6_165121710.html,55.0
1238,通州 - 天桥湾小区,20.0,3室1厅,2/6,1100,http://m.fang.com/zf/bj/JHAGT_390705261_8eefd00a5763294969fe4fb3e515c81d_165032690.html,55.0
1239,昌平 - 北京北,55.0,1室1厅,10/25,3800,http://m.fang.com/zf/bj/JHAGT_390819617_23e19fa73a6da6374ffcad50b27fc66c_165094190.html,69.0
1240,顺义 - 中景江山赋,75.0,2室1厅,2/9,5000,http://m.fang.com/zf/bj/JHAGT_388774995_16f0ddf5f6d2b171112f61496f28d674_165262087.html,66.0
1241,门头沟 - 石门营小区,47.0,1室1厅,5/6,2600,http://m.fang.com/zf/bj/JHAGT_389259737_638468da8097d164335cb0d8d340663d_164723182.html,55.0
1242,顺义 - 中景江山赋,52.0,1室1厅,5/7,3200,http://m.fang.com/zf/bj/JHAGT_388892362_bfbd83ceb7d2b1efbe50ce10bd347efd_165262087.html,61.0
1243,顺义 - 聚通嘉园二期国展公馆,70.0,1室1厅,3/6,4200,http://m.fang.com/zf/bj/JHAGT_389291868_58f58aedfc27f6ddc7657abaf232dcee_165262087.html,60.0
1244,顺义 - 金地悦景台,60.0,1室1厅,6/16,4000,http://m.fang.com/zf/bj/JHAGT_389378810_c43ac9ace3fffdbb8ffdf4e090c06111_165262087.html,66.0
1245,朝阳 - 安苑北里,78.0,2室1厅,3/12,5000,http://m.fang.com/zf/bj/JHAGT_388142795_f745afda3f1bcf4ec486b66c44be1e89_165084842.html,64.0
1246,石景山 - 西山枫林,70.0,2室1厅,9/14,4600,http://m.fang.com/zf/bj/JHAGT_388851792_302917af3a822d1a3c6ee0fd7500e462_165629443.html,65.0
1247,房山 - 首开熙悦双子座,55.0,2室1厅,14/16,3000,http://m.fang.com/zf/bj/JHAGT_390047158_5ff61a7c8a1b50a982b9f3c6594138d1_165809445.html,54.0
1248,朝阳 - 松榆西里,70.0,2室1厅,3/6,4200,http://m.fang.com/zf/bj/JHAGT_390684841_9d3e702685403f668ad785f9a6a7b412_162193624.html,60.0
1249,丰台 - 南顶村,65.0,1室1厅,2/5,4000,http://m.fang.com/zf/bj/JHAGT_390179351_4e8c9bc65b8aef338ce55ebd1e24cada_164733378.html,61.0
